frame,timestamp,car_id,car_center,x1,y1,x2,y2,movement,fps
47,1764848877.3,6,"(260, 623)",154,572,366,675,0.6,3.06
48,1764848877.66,1,"(133, 884)",0,821,267,947,0.85,3.06
48,1764848877.66,3,"(210, 733)",98,683,323,784,0.0,3.04
48,1764848877.66,6,"(260, 623)",154,572,366,675,0.6,3.03
49,1764848878.03,1,"(133, 884)",0,821,267,947,0.4,3.01
49,1764848878.03,3,"(210, 733)",98,683,323,784,0.0,2.99
49,1764848878.03,6,"(259, 623)",153,572,366,675,0.6,2.97
50,1764848878.37,1,"(133, 884)",0,821,266,947,0.2,2.97
50,1764848878.37,3,"(210, 733)",98,683,323,784,0.0,2.97
50,1764848878.37,6,"(259, 624)",153,572,366,676,0.6,2.98
51,1764848878.72,1,"(133, 884)",0,821,266,947,0.2,2.99
51,1764848878.72,3,"(210, 733)",98,683,323,784,0.0,3.0
51,1764848878.72,6,"(259, 624)",153,572,366,676,0.6,3.02
52,1764848879.07,1,"(133, 884)",0,821,266,947,0.0,3.03
52,1764848879.07,3,"(210, 733)",98,683,323,784,0.0,3.05
52,1764848879.07,6,"(259, 624)",153,572,366,676,0.4,3.07
53,1764848879.45,1,"(133, 883)",0,820,267,947,0.2,3.06
53,1764848879.45,3,"(210, 732)",98,682,323,783,0.2,3.03
53,1764848879.45,6,"(261, 623)",158,573,365,674,0.85,3.01
54,1764848879.82,1,"(133, 884)",0,821,267,947,0.4,2.99
54,1764848879.82,3,"(210, 732)",98,682,323,783,0.2,2.98
54,1764848879.82,6,"(262, 623)",160,574,365,673,0.85,2.96
55,1764848880.2,1,"(135, 884)",2,821,268,948,0.8,2.94
55,1764848880.2,3,"(210, 732)",98,682,323,783,0.2,2.92
55,1764848880.2,6,"(263, 623)",161,574,365,673,0.85,2.9
56,1764848880.55,1,"(136, 885)",3,822,269,948,1.08,2.89
56,1764848880.56,3,"(210, 732)",98,682,323,783,0.2,2.91
56,1764848880.56,6,"(263, 623)",161,574,365,673,0.85,2.93
57,1764848880.9,1,"(136, 885)",4,822,269,948,1.08,2.96
57,1764848880.9,3,"(210, 732)",98,682,323,783,0.2,2.98
57,1764848880.9,6,"(263, 623)",161,574,365,673,0.85,3.0
58,1764848881.25,1,"(136, 885)",4,823,269,948,0.88,3.01
58,1764848881.25,3,"(210, 732)",98,682,323,783,0.0,3.03
58,1764848881.25,6,"(263, 623)",162,574,365,673,0.4,3.05
59,1764848881.6,1,"(136, 886)",5,824,268,948,0.88,3.08
59,1764848881.6,3,"(211, 732)",98,682,324,783,0.2,3.09
59,1764848881.6,6,"(263, 623)",162,574,365,673,0.2,3.1
60,1764848881.96,1,"(136, 886)",5,824,267,948,0.48,3.1
60,1764848881.96,3,"(211, 732)",98,682,324,783,0.2,3.09
60,1764848881.96,6,"(263, 623)",162,574,365,673,0.0,3.08
61,1764848882.31,1,"(136, 886)",5,824,267,948,0.2,3.08
61,1764848882.31,3,"(211, 732)",98,682,324,783,0.2,3.07
61,1764848882.31,6,"(263, 623)",162,574,365,673,0.0,3.07
62,1764848882.67,1,"(135, 886)",4,824,267,949,0.4,3.06
62,1764848882.67,3,"(211, 732)",98,682,324,783,0.2,3.04
